SMILES,ALDH1_inhibition,MinAbsEStateIndex,MinEStateIndex,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPLOW,Chi4n,Chi4v,PEOE_VSA7,SMR_VSA1,SMR_VSA5,SlogP_VSA2,SlogP_VSA5,EState_VSA10,EState_VSA2,VSA_EState2,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticRings,NumSaturatedRings,MolMR,PMI1
[NH3+]CCSSCC[NH3+],0,2.9941410461093154,1.1455669574917227,3.962214220287561,-2.1738784530256328,1.7002676877265506,-0.7473053219499208,-2.071948461330724,-0.6362299469471051,-1.9500585438549276,0.004847882006659046,-1.0906944338037374,-0.06253416375190572,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,-0.016904572113838966,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-2.0965575064688133,-1.1931059417385503
[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],0,3.156498002126156,1.1734931111491569,0.8467572693870304,-1.672097142871666,0.9929342760948018,-1.8051342260549443,-0.9189397629974309,-1.1813024945612751,-1.9500585438549276,1.2631038331306685,0.458888934725688,0.877543586013264,0.42471206917472865,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,1.950213745986563,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-1.2978207890801783,-1.0371792055737443
[NH3+]CCCCCCCCCC[NH3+],0,3.286978803588466,1.1959364175548506,-0.18843350156581004,-1.8854310554997409,1.1294721216563588,-0.6891491689632365,-0.9467818657004152,-1.204749047958246,-0.28886223370428055,0.004847882006659046,2.0084723032551146,-0.7996720792782954,1.997712415645615,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,0.04075733147411893,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-1.5274786635561237,-1.0589571983873256
[NH3+]CCSSCC[NH3+],0,2.9941410461093154,1.1455669574917227,3.962214220287561,-2.1738784530256328,1.7002676877265506,-0.7473053219499208,-2.071948461330724,-0.6362299469471051,-1.9500585438549276,0.004847882006659046,-1.0906944338037374,-0.06253416375190572,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,-0.016904572113838966,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-2.0965575064688133,-1.164652474100126
ClCC[NH+](CCCl)CCCl,0,1.6360022191852188,0.9119607449874921,2.078677272646249,-1.0460971444468015,-0.042695964324044246,-2.61993155157516,-1.5562102626476415,-1.0733243654691347,-1.9500585438549276,-0.7722661323413255,-1.0906944338037374,0.749777095120567,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.1378841765787318,0.28810383973279446,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-1.7510622605324275,-0.5230806708159391
[NH3+]CCSSCC[NH3+],0,2.9941410461093154,1.1455669574917227,3.962214220287561,-2.1738784530256328,1.7002676877265506,-0.7473053219499208,-2.071948461330724,-0.6362299469471051,-1.9500585438549276,0.004847882006659046,-1.0906944338037374,-0.06253416375190572,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,-0.016904572113838966,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-2.0965575064688133,-1.1845919145624948
ClC(Cl)(Cl)Cl,0,5.205624274081708,-0.607183300859778,9.710323925773906,-0.5674906051278954,1.7133056627838932,1.4218023895825216,-2.296981780456786,-2.3417872499805275,-1.9500585438549276,-1.3520654283080038,-0.8945042866465107,-1.4299516096979221,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,-0.802431837580609,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-2.772786036343232,-1.0167322483082932
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0,6.123272539441952,-0.7650230823550056,4.3458299060195325,1.5950004426132405,-0.35150332577605453,0.12194462553152269,-2.296981780456786,-2.3417872499805275,-1.9500585438549276,-1.3520654283080038,-0.6330543563046681,-1.1523259445231469,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,-0.802431837580609,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-2.0892759485619936,-0.6155086153643015
ClC(Cl)C(Cl)Cl,0,1.594425922372779,0.013959658034061918,4.573904608719588,-0.8593834543954364,1.4159344889878542,0.9535687503790284,-2.296981780456786,-2.3417872499805275,-1.9500585438549276,-1.3520654283080038,-0.5071084445141545,-1.0185878421982868,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.362641159190654,-0.802431837580609,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-2.543402758979507,-1.028986206092295
ClCCOCOCCCl,0,0.12523838244067506,0.6521023189607864,4.061604528578475,-2.3278275081135376,1.025846632625072,0.7281925698312369,-2.02403660612952,-1.9364842693173743,-1.9500585438549276,-0.23105301927849684,-1.0906944338037374,0.39692298883060767,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,-0.2892564926076944,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-2.201434665605268,-1.1426718614546396
ClC(Cl)(Cl)Cl,0,5.205624274081708,-0.607183300859778,9.710323925773906,-0.5674906051278954,1.7133056627838932,1.4218023895825216,-2.296981780456786,-2.3417872499805275,-1.9500585438549276,-1.3520654283080038,-0.8945042866465107,-1.4299516096979221,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,-0.802431837580609,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-2.772786036343232,-1.015804028047502
ClCCOP(OCCCl)OCCCl,0,0.5467355663508893,-0.42217873108003234,4.333470263117677,-0.5854044763270972,-0.017284040582005906,0.7960122212619715,-1.8779292387691984,-0.7837663129508841,-1.9500585438549276,0.2538001265069335,-1.0906944338037374,0.7617177183046496,-1.148288277296157,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,-0.34700909014061276,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-1.3149120920994362,0.3864310409715494
[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],0,3.156498002126156,1.1734931111491569,0.8467572693870304,-1.672097142871666,0.9929342760948018,-1.8051342260549443,-0.9189397629974309,-1.1813024945612751,-1.9500585438549276,1.2631038331306685,0.458888934725688,0.877543586013264,0.42471206917472865,-1.0878422188329833,-1.0583725169632412,-1.2520384002529585,1.950213745986563,3.6472461701388745,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,-1.2978207890801783,-0.9846130162740248
Fc1ccc(NCc2nnc(SCc3nnc(-c4ccccc4)o3)n2Cc2ccccc2)cc1,0,0.045668936516093016,0.2803530829056925,0.4644772064005289,-0.2522547397518057,0.19621345142544325,0.5046704871878479,0.916445331430621,1.0023478032152116,0.7640234196473692,-0.3098787682204722,0.3572567795690656,-0.03904670588453234,-0.09004317317196103,-0.48439324619496044,-0.48631280848805536,-1.2520384002529585,-0.39702512512750093,-0.6372719357648448,-0.3277017977070136,-0.6776819659931855,-0.5335072233225513,2.0773896157813483,2.8605881148947976
