SMILES,ALDH1_inhibition,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
COc1ccccc1CC(NC(C)=O)C(=O)NC1CCN(c2nnnn2-c2ccccc2)CC1,1.0,0.589817288862932,0.9856775174881669,0.0004909974422135074,0.1652272548317249,0.9385409145865292,1919.5728945525152,11166.9873322489,11900.167746618183,5.183956734333998,0.20536503883593799
O=C(CSc1nc2cccnc2n1Cc1ccccc1)NCc1ccco1,1.0,0.38511915865482926,0.9568063360529984,0.00047838731143748966,0.28391762785031005,0.8291296403811588,1763.157969663292,5284.944210447195,6356.039734606352,4.2017531853325165,0.16676530441331297
Cc1cccc2cc(C[NH+](CC3CCCO3)C(c3nnnn3Cc3ccco3)C(C)C)c(O)nc12,1.0,0.2444126988650301,0.9029159332956928,0.00025959714067611895,0.41465016327038945,0.8000216600966802,3278.2494018151106,6418.316798228084,8002.96117530549,4.302766221884686,0.33941756462922673
CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,1.0,0.6078456463226588,0.9879742753216769,0.0012997836380825058,0.15422349294662702,0.8709137854343011,670.8928774624792,3796.5218361730963,4359.740820682909,3.6534463719046473,0.13474686477120523
CS(=O)(=O)N1CCc2cc(-c3csc(NC(=O)Cc4cccs4)n3)ccc21,1.0,0.8518178365408897,0.9986327200327342,0.0013774018003477923,0.05221283056631787,0.9720101612385792,707.4574383945395,13170.435932076096,13549.708306652916,5.717212169085652,0.056268840566764525
CC1CCCCN1S(=O)(=O)c1ccc(NC(=O)c2cccc(-n3cnnn3)c2)cc1,1.0,0.7373283482412437,0.9950941654278914,0.0007856737371225338,0.09763786846289957,0.954995217051481,1238.1151461739125,12190.633084019011,12753.602102420864,5.539046226701357,0.09303893605716893
COCCN(C(=O)C(F)(F)F)C(C(=O)NC1CCCCC1)c1ccco1,1.0,0.22964416815528405,0.9100264978029451,0.00047099646472816773,0.40924438092585697,0.8674043414970031,1850.1577260273093,3955.2968951833523,4568.619414063733,3.711592551296424,0.3132055960047415
COc1ccccc1N1CCN(C(=O)CSc2nnc(-c3ccoc3C)o2)CC1,1.0,0.661224506394545,0.9909922305172147,0.000707520154773799,0.131331457935264,0.9470410881266054,1384.9960601120915,10101.240363757523,10684.345258451085,5.167627132168674,0.1344816285118727
O=c1c2ccccc2nc(SCc2ccccc2)n1Cc1ccco1,1.0,0.1871911967828369,0.8737335476401933,0.00032787386629053574,0.48013418570409955,0.670686924359736,2055.4816174558473,2917.5465804294604,4342.169062023692,3.6535258232102747,0.2425186479497922
N#Cc1c(NC(=O)CSc2nnnn2C2CCCC2)sc2c1CCCC2,1.0,0.581865416591598,0.9855132908764876,0.0007919041316656602,0.1683367589107176,0.9290037973447973,1178.4713207596164,6561.378076622175,7056.497091729744,4.36141432899002,0.12521386235028178
COc1ccc(C(=O)C2=C(O)C(=O)N(c3cc(C)on3)C2c2ccccc2OC)cc1,1.0,0.4208227812433921,0.9666012338929019,0.00047255071376153454,0.2555075237319512,0.8652777284173648,1840.0122387342203,6235.404059774049,7207.743274225357,4.263158032980061,0.20576150164839727
C/C([NH2+]CCC[NH+]1CCOCC1)=C1/C(=O)NC(=O)N(c2ccccc2C)C1=O,1.0,0.6818453833426164,0.9921404239882017,0.00096440213370011,0.12219596696477723,0.9559553820192607,1007.8183486416617,8026.558670698172,8394.33541135339,4.732442337309741,0.16706582018995264
CCC(CC)COC(=O)C(C#N)c1nc2ccccc2nc1N1CCOCC1,1.0,0.21891805495122454,0.9054081866078517,0.0003229975478538515,0.4207472911585052,0.7584184921524503,2377.802543288529,4304.440675028052,5673.424554806074,4.017987780037183,0.24171554096358605
CCc1nc(NCC[NH+]2CCOCC2)c2oc3ccccc3c2n1,1.0,0.5026700513280185,0.9761617991070611,0.0006612684764684631,0.21133096985310978,0.8224899623916115,1269.8253593754662,5044.834348083109,6113.668427419048,4.353771504816894,0.09312145577325062
