SMILES,PMI1
CCCCC/C(=N\NC(=O)CCC(=O)NCc1ccccc1)c1ccccc1,1621.952100504418
Cc1ccc(S(=O)(=O)N2CCC(C(=O)OCC(=O)N3CCc4ccccc43)CC2)cc1,1305.1189258953245
COc1ccc(N2C(=O)CC(Nc3ccc(F)cc3)C2=O)c([N+](=O)[O-])c1,1068.1236774395636
Cc1cc(C)cc(OCC(=O)O[NH+]=C(N)Cc2ccc([N+](=O)[O-])cc2)c1,1237.3741229626826
NNC(=O)C=C1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,696.488953910196
CC1(C)CC(=O)C2=C(C1)OC([NH3+])=C(C#N)[C@@]21C(=O)N(CC(N)=O)c2ccccc21,2082.4581326441903
O=C(NCc1cccs1)C1CCC(CNS(=O)(=O)c2cccs2)CC1,1045.2720943863246
O=C(c1ccc(S(=O)(=O)N2CCCCCC2)cc1)N1CCN(c2ccccn2)CC1,1466.5870780572166
CCOC(=O)C1CCN(C(=O)CN(c2ccc(OC)c(OC)c2)S(=O)(=O)c2ccccc2)CC1,3571.505965466761
O=C([O-])CCCCc1nc2ccccc2s1,424.76704473643133
Cc1csc(NC(=O)c2ccc(C(=O)Nc3nc(C)cs3)cc2)n1,527.9368848761181
CCc1ccccc1NC(=O)CSc1nnc(Cn2nnc3ccccc32)n1C,1369.5344279720762
O=C(C1=C[C@H](c2ccc(C(F)(F)F)cc2)C[C@H](OCCCCO)O1)N1CC[NH+](Cc2ccccc2)CC1,5389.262289720327
Cc1ccc(C(=O)CSc2cnc3ccccc3n2)cc1C,733.3016368352817
Cc1c(C(=O)N2CCCCC2)nnn1-c1nonc1N,489.3578509350664
Cn1cc([C@H]2N3C[C@@]4(C)C[NH+]2C[C@@](C)(C3)C4=O)c2ccccc21,839.966503920831
COc1ccc(NC(=O)CC2C(=O)N(c3cccc(OC)c3)C(=O)N2C(C)C)cc1,2039.4654167120934
NNC(=O)c1ccc(N2CCc3ccccc32)c([N+](=O)[O-])c1,877.1153675352047
CCN(CC)S(=O)(=O)c1cc(C(=O)OCC(=O)Nc2cccc(C)c2C)ccc1F,1554.6981289372075
COc1ccc(CNc2ncnc3cc(Cl)ccc23)cc1OC,1005.9488937956487
CCc1ccc(NC(=O)C2CCCN(S(C)(=O)=O)C2)cc1,643.646016248057
O=C(CC[NH+]1CCOCC1)c1ccc2c(c1)OCCO2,480.48448638959565
COc1ccc(CC(=O)NC2CC[NH+](CC(=O)Nc3ccc4c(c3)OCCO4)CC2)cc1OC,1245.4806672034406
COc1ccc(-n2nnnc2SCC(=O)N2CCCc3ccccc32)cc1OC,1517.7456722457543
CCn1ncc(Br)c1C(=O)Nc1ccc(F)c([N+](=O)[O-])c1,1228.713284081372
O=C1[NH+]=C(Nc2ccccn2)SC1Cc1ccccc1Cl,820.0399247199699
CCOc1ccc2nc(SC3CC(=O)N(c4ccc(C)cc4)C3=O)sc2c1,1075.7952598531897
CC[NH+]1CCN(c2ncc(C(=O)Nc3ccccc3C(=O)OC)c3ccccc23)CC1,1532.0545274213075
O=C(OCc1cccc([N+](=O)[O-])c1)c1cccnc1,530.116970482714
Cc1cc(Cl)ccc1C(=O)C1CCCN(C(=O)c2cc(C(C)C)no2)C1,1221.4478559145577
O=C(C[NH+]1CCSCC1)N1CCc2[nH]c3ccc(Br)cc3c2C1,1349.0892433539916
Cc1cc(C(=O)Cn2nc(C(=O)[O-])c3ccccc3c2=O)c(C)n1CCc1ccc(F)cc1,1667.2763919102333
CCOc1ccc(NC(=S)N/N=C(\C)Cc2ccc(OC)cc2)cc1,1110.4740366632448
Cc1ccc(-n2c(CNc3ccc(F)cc3)nnc2SCC(=O)N2CCOCC2)cc1,2901.0905837351447
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,1474.57429221521
O=S(=O)(NCc1ccccc1)c1ccc(Cl)c(S(=O)(=O)NCc2ccccc2)c1,1920.0207586046188
Cc1ccc(NC(=O)COC(=O)CNC(=O)c2ccc3ccccc3c2)c([N+](=O)[O-])c1,1879.6195111055015
C=C1C(C(=O)Nc2cccc(OC)c2)C1C(=O)Nc1cccc(OC)c1,1301.5469724002191
COc1ccc(C(c2nnnn2Cc2ccccc2)[NH+]2CCN(C(=O)c3ccco3)CC2)cc1,3406.170536723412
CCOc1ccc(CC(=O)Nc2ccc(NC(=O)c3ccco3)cc2)cc1OCC,1406.3983011374567
COc1ccc(Cl)cc1C(=O)O[NH+]=C(N)c1ccc(Cl)cc1,900.0327643192762
O=C(NCCOc1ccc(Cl)cc1)C1CCCCC1,532.0751025645939
O=C(CSc1nc(-c2cccs2)cc(C(F)(F)F)n1)NCCCn1ccnc1,2051.275023889238
O=C(CSc1nnc(NC(=O)c2ccco2)s1)NC1CCCC1,879.1372914949845
COc1ccc(CNC(=O)C(c2ccc(C)o2)N(C(=O)c2csnn2)c2ccc(C(C)C)cc2)cc1,4025.9035033057844
CC(C)Sc1nnc(NC(=O)c2ccco2)s1,338.2582676493278
[S-]c1nnc(CSc2nc3ccccc3s2)o1,652.1244008657588
Cc1cc(/C=N/NC(N)=S)c(C)n1-c1cccc(Cl)c1,714.3580053453245
O=Nc1c(O)n(Cc2cccc(C(F)(F)F)c2)c2ccccc12,1017.9691699769082
NNC(=O)CNC(=O)c1ccc(F)cc1,279.13015982191297
CCC(c1nnnn1CCOC)[NH+]1CCN(c2cccc(C(F)(F)F)c2)CC1,1298.2412339394364
Oc1cc(CSc2ccc(Cl)cc2)nc(-c2ccncc2)n1,1159.9616446087366
CCNC(=S)N1CC[NH+](Cc2ccccc2)CC1,496.1957666170362
CCCn1c(NCCO)nc2ccccc21,704.894056069825
O/N=C(/Cc1ccccn1)c1ccccc1,386.2083398696336
CC1CCN(C(=O)CSc2nc(O)c3cnn(-c4ccc(Cl)cc4)c3n2)CC1,1760.0476251717282
Cc1oc(-c2ccccc2)nc1CS(=O)CC(=O)N1CCc2ccccc2C1,1189.493992392608
O=C(CCl)Nc1cc(-c2ccccc2)nn1-c1ccccc1,1712.8931713057468
NC(=O)c1sc2cc(C(F)(F)F)cnc2c1-c1cccs1,1107.1647575026666
CCOCCCNS(=O)(=O)c1ccc(NC(=O)CN2C(=O)c3ccccc3C2=O)cc1,2181.8738893576583
Cn1cc([N+](=O)[O-])c(C(=O)NNC(=O)c2ccc([N+](=O)[O-])cc2)n1,712.4916337071168
