,SMILES,ALDH1_inhibition,Sim_inh0,Sim_inh1,Sim_inh2,Sim_inh4
0,[NH3+]CCSSCC[NH3+],0,0.05405405405405406,0.2127659574468085,0.0625,0.16901408450704225
1,[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],0,0.07894736842105263,0.2553191489361702,0.06,0.19718309859154928
2,[NH3+]CCCCCCCCCC[NH3+],0,0.05714285714285714,0.27906976744186046,0.06521739130434782,0.17391304347826086
3,[NH3+]CCSSCC[NH3+],0,0.05405405405405406,0.2127659574468085,0.0625,0.16901408450704225
4,ClCC[NH+](CCCl)CCCl,0,0.18181818181818182,0.2127659574468085,0.0625,0.22058823529411764
5,[NH3+]CCSSCC[NH3+],0,0.05405405405405406,0.2127659574468085,0.0625,0.16901408450704225
6,ClC(Cl)(Cl)Cl,0,0.0,0.0,0.0,0.015151515151515152
7,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0,0.0,0.0,0.0,0.015151515151515152
8,ClC(Cl)C(Cl)Cl,0,0.0,0.0,0.0,0.0
9,ClCCOCOCCCl,0,0.058823529411764705,0.10204081632653061,0.043478260869565216,0.14285714285714285
10,ClC(Cl)(Cl)Cl,0,0.0,0.0,0.0,0.015151515151515152
11,ClCCOP(OCCCl)OCCCl,0,0.05263157894736842,0.09433962264150944,0.04,0.1506849315068493
12,[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],0,0.07894736842105263,0.2553191489361702,0.06,0.19718309859154928
13,Fc1ccc(NCc2nnc(SCc3nnc(-c4ccccc4)o3)n2Cc2ccccc2)cc1,0,0.18461538461538463,0.21794871794871795,0.2714285714285714,0.4578313253012048
14,N#Cc1nc(COc2cccc(Cl)c2)oc1NCc1ccco1,0,0.15,0.359375,0.44642857142857145,0.43037974683544306
15,N#Cc1nc(COc2ccc(-c3ccccc3)cc2)oc1NCc1cccnc1,0,0.15517241379310345,0.3709677419354839,0.46296296296296297,0.4605263157894737
16,c1ccc2c(-c3nnc(SCc4cn5ccccc5[nH+]4)o3)c[nH]c2c1,0,0.15789473684210525,0.23529411764705882,0.3,0.4473684210526316
17,N#Cc1nc(COc2cccc(Cl)c2)oc1NCc1ccncc1,0,0.14754098360655737,0.35384615384615387,0.43859649122807015,0.4430379746835443
18,Fc1cccc(Cl)c1Cn1nnc2c(-n3ccnc3)ncnc21,0,0.21153846153846154,0.22727272727272727,0.25,0.4266666666666667
19,N#Cc1cccc(-c2cncnc2NCCc2cnc[nH]2)c1,0,0.16666666666666666,0.34545454545454546,0.25925925925925924,0.3888888888888889
20,N#Cc1cccc(-c2nc(NCc3cccs3)c3ccccc3n2)c1,0,0.18604651162790697,0.2777777777777778,0.2857142857142857,0.3380281690140845
